voltage,current,power,energy,timestamp,date
248.0,0.357,57.5,0.00018,18:05:2025 12:40:33.75,2025-05-18
248.3,0.359,57.9,0.00018,18:05:2025 12:40:38.87,2025-05-18
248.2,0.36,58.1,0.00018,18:05:2025 12:40:43.98,2025-05-18
248.4,0.354,57.0,0.00018,18:05:2025 12:40:49.11,2025-05-18
248.4,0.356,57.2,0.00018,18:05:2025 12:40:54.20,2025-05-18
248.4,0.359,57.6,0.00018,18:05:2025 12:40:59.34,2025-05-18
248.3,0.353,56.6,0.000181,18:05:2025 12:41:05.60,2025-05-18
248.4,0.361,57.8,0.000181,18:05:2025 12:41:12.40,2025-05-18
248.1,0.36,57.6,0.000181,18:05:2025 12:41:17.53,2025-05-18
248.1,0.357,57.0,0.000181,18:05:2025 12:41:22.64,2025-05-18
248.2,0.361,57.8,0.000181,18:05:2025 12:41:28.63,2025-05-18
248.3,0.36,57.7,0.000181,18:05:2025 12:41:33.83,2025-05-18
248.2,0.363,58.2,0.000181,18:05:2025 12:41:38.99,2025-05-18
248.0,0.361,57.6,0.000181,18:05:2025 12:41:44.28,2025-05-18
247.8,0.363,58.2,0.000181,18:05:2025 12:41:49.59,2025-05-18
247.9,0.362,58.3,0.000181,18:05:2025 12:41:54.70,2025-05-18
248.1,0.361,57.7,0.000182,18:05:2025 12:41:59.80,2025-05-18
247.9,0.36,57.7,0.000182,18:05:2025 12:42:04.89,2025-05-18
247.9,0.361,57.9,0.000182,18:05:2025 12:42:10.05,2025-05-18
248.0,0.362,57.9,0.000182,18:05:2025 12:42:15.16,2025-05-18
248.2,0.361,57.8,0.000182,18:05:2025 12:42:20.26,2025-05-18
249.0,0.356,57.6,0.000182,18:05:2025 12:42:25.61,2025-05-18
248.8,0.358,58.1,0.000182,18:05:2025 12:42:30.75,2025-05-18
248.8,0.36,58.1,0.000182,18:05:2025 12:42:35.87,2025-05-18
249.0,0.359,58.0,0.000182,18:05:2025 12:42:41.17,2025-05-18
248.8,0.355,57.9,0.000182,18:05:2025 12:42:46.53,2025-05-18
249.6,0.359,58.0,0.000182,18:05:2025 12:42:51.70,2025-05-18
250.2,0.352,57.6,0.000182,18:05:2025 12:42:56.89,2025-05-18
250.2,0.354,57.9,0.000182,18:05:2025 12:43:02.02,2025-05-18
249.9,0.351,57.5,0.000183,18:05:2025 12:43:07.14,2025-05-18
246.9,0.356,57.7,0.000183,18:05:2025 12:43:12.24,2025-05-18
246.9,0.357,57.7,0.000183,18:05:2025 12:43:17.43,2025-05-18
246.6,0.356,57.5,0.000183,18:05:2025 12:43:22.57,2025-05-18
246.4,0.357,57.6,0.000183,18:05:2025 12:43:27.73,2025-05-18
246.7,0.36,58.0,0.000183,18:05:2025 12:43:33.53,2025-05-18
246.7,0.359,58.0,0.000183,18:05:2025 12:43:38.78,2025-05-18
246.6,0.358,57.8,0.000183,18:05:2025 12:43:44.09,2025-05-18
