voltage,current,power,energy,timestamp,date
244.5,0.361,57.8,0.000101,15:05:2025 16:47:24.50,2025-05-15
244.7,0.36,57.2,0.0001,15:05:2025 16:47:24.49,2025-05-15
243.6,0.368,58.3,7.4e-05,15:05:2025 16:47:24.32,2025-05-15
242.4,0.361,57.6,7.2e-05,15:05:2025 16:47:24.29,2025-05-15
242.9,0.368,57.4,0.000104,15:05:2025 16:47:24.51,2025-05-15
243.4,0.369,58.1,9.5e-05,15:05:2025 16:47:24.47,2025-05-15
241.6,0.361,57.2,6e-05,15:05:2025 16:47:24.20,2025-05-15
245.3,0.366,57.9,9.6e-05,15:05:2025 16:47:24.48,2025-05-15
244.8,0.362,57.4,0.0001,15:05:2025 16:47:24.49,2025-05-15
245.0,0.365,57.8,9.2e-05,15:05:2025 16:47:24.46,2025-05-15
245.1,0.362,57.6,9.1e-05,15:05:2025 16:47:24.46,2025-05-15
243.4,0.366,57.4,0.000103,15:05:2025 16:47:24.50,2025-05-15
241.8,0.367,56.9,8.3e-05,15:05:2025 16:47:24.41,2025-05-15
245.4,0.364,58.0,9e-05,15:05:2025 16:47:24.45,2025-05-15
241.9,0.361,57.7,6.5e-05,15:05:2025 16:47:24.24,2025-05-15
243.0,0.364,58.0,6.8e-05,15:05:2025 16:47:24.27,2025-05-15
244.5,0.361,57.1,9.3e-05,15:05:2025 16:47:24.47,2025-05-15
245.9,0.357,57.8,8.8e-05,15:05:2025 16:47:24.43,2025-05-15
245.7,0.363,58.2,9.7e-05,15:05:2025 16:47:24.48,2025-05-15
242.8,0.366,57.3,0.000103,15:05:2025 16:47:24.51,2025-05-15
241.2,0.359,57.3,6e-05,15:05:2025 16:47:24.18,2025-05-15
242.3,0.362,57.9,6.1e-05,15:05:2025 16:47:24.20,2025-05-15
243.9,0.374,57.9,8.7e-05,15:05:2025 16:47:24.42,2025-05-15
0.0,0.366,57.3,0.000105,15:05:2025 16:47:30.41,2025-05-15
244.0,0.356,57.3,6.6e-05,15:05:2025 16:47:24.25,2025-05-15
241.7,0.353,56.9,6.3e-05,15:05:2025 16:47:24.22,2025-05-15
241.6,0.365,57.5,7.3e-05,15:05:2025 16:47:24.30,2025-05-15
242.8,0.372,58.2,8.1e-05,15:05:2025 16:47:24.40,2025-05-15
243.7,0.359,57.6,6.7e-05,15:05:2025 16:47:24.26,2025-05-15
246.0,0.358,58.1,8.9e-05,15:05:2025 16:47:24.44,2025-05-15
243.9,0.359,57.4,0.000105,15:05:2025 16:47:37.22,2025-05-15
243.4,0.357,57.2,0.000105,15:05:2025 16:47:42.32,2025-05-15
243.1,0.358,57.4,0.000105,15:05:2025 16:47:47.43,2025-05-15
243.0,0.358,57.3,0.000105,15:05:2025 16:47:52.53,2025-05-15
243.5,0.36,57.6,0.000105,15:05:2025 16:47:57.62,2025-05-15
243.5,0.36,57.3,0.000105,15:05:2025 16:48:02.76,2025-05-15
244.1,0.364,58.3,0.000101,15:05:2025 16:48:04.12,2025-05-15
243.5,0.358,57.1,0.000105,15:05:2025 16:48:08.02,2025-05-15
243.5,0.356,57.0,0.000105,15:05:2025 16:48:13.13,2025-05-15
243.5,0.358,57.3,0.000105,15:05:2025 16:48:18.23,2025-05-15
243.7,0.357,57.1,0.000105,15:05:2025 16:48:23.38,2025-05-15
244.5,0.356,57.4,0.000106,15:05:2025 16:48:28.49,2025-05-15
244.4,0.354,57.0,0.000106,15:05:2025 16:48:33.57,2025-05-15
244.0,0.355,57.4,0.000106,15:05:2025 16:48:38.68,2025-05-15
244.4,0.356,57.4,0.000106,15:05:2025 16:48:43.80,2025-05-15
244.3,0.356,57.3,0.000106,15:05:2025 16:48:48.89,2025-05-15
244.1,0.358,57.8,0.000106,15:05:2025 16:48:53.98,2025-05-15
244.2,0.356,57.5,0.000106,15:05:2025 16:48:59.08,2025-05-15
244.5,0.359,57.7,0.000106,15:05:2025 16:49:04.18,2025-05-15
244.5,0.358,57.6,0.000106,15:05:2025 16:49:09.29,2025-05-15
244.7,0.357,57.4,0.000106,15:05:2025 16:49:14.38,2025-05-15
244.7,0.359,57.8,0.000106,15:05:2025 16:49:19.50,2025-05-15
244.7,0.362,58.3,0.000107,15:05:2025 16:49:24.59,2025-05-15
244.6,0.359,57.6,0.000107,15:05:2025 16:49:29.70,2025-05-15
244.3,0.357,57.3,0.000107,15:05:2025 16:49:34.84,2025-05-15
244.2,0.361,58.1,0.000107,15:05:2025 16:49:40.10,2025-05-15
244.2,0.361,58.3,0.000107,15:05:2025 16:49:45.21,2025-05-15
244.4,0.365,58.2,0.000107,15:05:2025 16:49:50.30,2025-05-15
244.2,0.362,57.3,0.000107,15:05:2025 16:49:55.44,2025-05-15
